pair,spread_pips,commission_usd,total_cost_usd
EUR/USD,0.02,7.00,7.40
USD/JPY,0.14,7.00,8.40
GBP/USD,0.23,7.00,9.60
AUD/USD,0.03,7.00,7.30
USD/CAD,0.25,7.00,9.50
USD/CHF,0.19,7.00,8.90
EUR/GBP,0.27,7.00,9.70
EUR/JPY,0.30,7.00,10.00
AUD/JPY,0.50,7.00,12.00
USD/SGD,0.85,7.00,15.50
NZD/USD,0.38,7.00,10.80
GBP/JPY,0.59,7.00,12.90
EUR/AUD,0.61,7.00,13.10
EUR/CAD,0.43,7.00,11.30
EUR/CHF,0.45,7.00,11.50
EUR/NZD,1.00,7.00,17.00
GBP/CAD,0.80,7.00,15.00
GBP/CHF,0.90,7.00,16.00
GBP/AUD,1.00,7.00,17.00
GBP/NZD,1.80,7.00,25.00
AUD/CAD,0.65,7.00,13.50
AUD/NZD,0.92,7.00,16.20
AUD/CHF,0.68,7.00,13.80
NZD/CAD,0.92,7.00,16.20
NZD/CHF,1.00,7.00,17.00
CAD/CHF,0.91,7.00,16.10
CAD/JPY,0.70,7.00,14.00
CHF/JPY,0.74,7.00,14.40